Recipe ID,Nama Resep,Energi (kj),Energi (kkal),Lemak (g),Lemak Jenuh (g),Lemak Trans (g),Lemak tak Jenuh Ganda (g),Lemak tak Jenuh Tunggal (g),Kolesterol (mg),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (mg),Kalium (mg),Kategori,Keywords,PrepTime,CookTime,Ingredients,Instructioons,Meal Category
203,Yogurt dan Chia Bowl,2594,620,32.13,0.004226,0.0,0.023499,0.00218,3.0,20.4,69.11,39.4,17.51,66.0,0.35,"""Makan Pagi""","""Mudah membuat mangkuk sarapan.""",10 Menit,.,"""100 gram chia seed"",""1 buah naga"",""80 g blueberry yoghurt""","""Potong dadu buah naga."",""Siram dengan yoghurt."",""Taruh chia seed diatasnya.""",sarapan
209,Papaya Yogurt with Almonds,879,210,3.17,0.694,0.0,0.654,0.001661,3.0,5.52,42.68,5.8,31.08,45.0,567.0,"""Makan Pagi""","""Sarapan bergizi cepat dan mudah!""",5 Menit,5 Menit,"""1 mangkok"",""potong dadu pepaya"",""5 gram kacang almond"",""1 sdm madu"",""71 ml yogurt plain""","""Potong pepaya menjadi ukuran yang lebih kecil"",""kemudian sisihkan."",""Cincang almond menjadi ukuran yang lebih kecil."",""Masukkan yogurt ke dalam mangkok."",""Tambahkan pepaya dan almond yang sudah dipotong."",""Tambahkan juga madu"",""jika ingin lebih manis.""",sarapan
212,Bubur Manis Oat,782,187,4.34,0.001459,0.0,0.001167,0.001006,0.0,3.18,34.09,5.7,13.5,166.0,8.0,"""Makan Pagi""","""Bubur oat dengan biji chia dan serat creme.""",2 Menit,10 Menit,"""5 gram chia seed"",""1 gelas air"",""1 sejumput garam laut"",""1 sdt fiber creme"",""21 g oat"",""1 ml sweetener"",""15 g gula aren""","""Masukan semua bahan dalam wajan."",""Tambahkan daun pandan agar wangi."",""Aduk hingga bubur mengental."",""Bubur siap di ajukan."",""Tambahkan sejumput chia seed untuk hiasan.""",sarapan
213,Salad Roll,766,183,7.64,0.003741,0.0,0.088,6e-05,0.02,15.18,14.96,1.2,0.0,1.008,265.0,"""Makanan Ringan"",""Salad dan Salad Dressing"",""Makanan Pembuka""","""Gulungan salad sehat yang bisa Anda makan saat bepergian.""",5 Menit,5 Menit,"""1 sedang rice paper"",""20 gram wortel"",""20 gram mentimun (kupas)"",""50 gram selada air"",""20 g cheddar cheese"",""50 g smoked beef""","""Rendam rice paper ke dalam air hangat sebentar."",""Setelah rice paper lemas & mudah dibentuk"",""masukkan bahan2"",""lalu lipat/gulung."",""Makan!""",sarapan
218,Smoothie Coklat Pisang,1172,280,3.97,0.001213,0.0,0.0015329999999999,0.00039,0.0,5.85,60.42,12.3,27.23,11.0,724.0,"""Makanan Pembuka""","""Pisang coklat bubuk dan topping.""",5 Menit,5 Menit,"""200 gram pisang"",""5 gram chia seed"",""10 g mueslix harvest fruit"",""10 g coklat bubuk""","""Pisang bekuin."",""Blender sama bubuk coklat."",""Kasih taburan topping.""",sarapan
219,Snack Oat,108,26,1.08,0.136,0.0,0.204,0.692,0.0,0.73,3.44,0.5,0.58,2.0,24.0,"""Makanan Ringan""","""Camilan rendah kalori dengan pisang"",""gandum"",""dan almond.""",10 Menit,25 Menit,"""1 besar putih telur"",""130 gram pisang"",""25 gram kacang almond panggang kering (tanpa tambahan garam)"",""100 g quick cooking oatmeal"",""1 sdm extra virgin olive oil""","""Lumatkan pisang."",""Masukkan putih telur kedalam pisang yg dilumatkan."",""Aduk dan campurkan semua bahan kedalam pisang (oat"",""almond"",""olive oil)."",""Bagi menjadi 30 bagian (10gr)."",""Panggang 20 menit (suhu 180)."",""Dingingkan"",""siap disantap."",""4 anggota telah menambahka""",sarapan
220,Salad,1987,475,26.49,0.006394,0.0,0.002697,0.004456,228.0,10.37,55.72,6.5,40.82,7.305,666.0,"""Saus dan Bumbu"",""Salad dan Salad Dressing"",""Hidangan Utama""","""Salad dengan topping telur.""",30 Menit,30 Menit,"""jus dari 1 jeruk nipis"",""50 gram tomat"",""50 gram selada"",""30 gram jamur dimasak (lemak ditambahkan dalam masakan)"",""50 gram bawang bombay dimasak"",""50 gram telur ceplok"",""4 sdt"",""tumbuk oregano"",""1 sdm garam"",""50 gram mentimun (kupas)"",""2 sdm madu"",""1 sdm olive oil"",""3 g lada putih bubuk""","""Cuci semua bahan untuk salad."",""Kupas dan potong tipis bawang bombay lalu tumis dengan sedikit minyak dan garam secukupnya."",""Potong potong tipis jamur lalu tumis dengan sedikit minyak dan garam secukupnya."",""Kupas mentimun lalu buang bijinya dan potong kecil kecil."",""Buang biji tomat dan potong kecil kecil."",""Keringkan selada dan potong sesuai selera."",""Ceplok telur dengan sedikit minyak dan beri garam secukupnya."",""Untuk dressingnya : Campurkan air jeruk nipis"",""madu"",""garam"",""merica"",""oregano"",""dan olive oil.""",sarapan
222,Salad Selada Nanas Tomat Cerry,975,233,19.43,0.001914,0.0,0.001578,0.009901,0.0,2.17,14.16,2.1,6.04,23.0,0.25,"""Salad dan Salad Dressing""","""Salad segar diisi dengan tomat ceri"",""nanas dan selada.""",30 Menit,.,"""1 iris jeruk nipis"",""1/4 sdt bubuk cabai"",""50 gram nanas"",""50 gram selada daun hijau"",""1 sdm minyak zaitun ekstra virgin"",""4 tomat anggur"",""20 ml saus siram wijen sangrai""","""Cuci bersih selada"",""tomat"",""nanas."",""Rendam dlm air garam selama 15-20 menit."",""Bilas bahan tersebut dengan air bersih"",""potong2 sesuai selera."",""Keringkan dengan pengering sayuran."",""Campur rata smua bahan salad dressing (kewpie saus siram wijen sangrai+minyak zaitun+sari kurma+bawang putih bubuk+cabe bubuk (optional)+perasan air jeruk nipis."",""Siram salad dressing ke salad yg telah disajikan"",""aduk2"",""siap utk disantap.""",sarapan
228,Pancake Naga,1397,334,9.35,0.0021,0.0,0.001846,0.00347,217.0,17.07,48.64,4.7,16.99,72.0,472.0,"""Makan Pagi"",""Hidangan Utama""","""Pancake dengan campuran buah naga.""",10 Menit,.,"""1 besar telur"",""4 sendok makan instant oatmeal"",""1 buah naga"",""35 g susu""","""Blender semua bahan jadi satu."",""Panggang di atas teflon jadi beberapa bagian."",""Angkat dan kasih toping naga.""",sarapan
229,Bolu Pisang Oat Kukus,191,46,1.06,0.296,0.0,0.207,0.364,17.0,1.51,8.25,0.0,2.65,126.0,82.0,"""Roti & Produk Panggang""","""Bolu kukus dari pisang dan oat.""",10 Menit,45 Menit,"""1 sedang telur"",""2 sedang pisang"",""1 sdt baking soda"",""6 sendok makan instant oatmeal"",""5 g keju cheddar""","""Blender oat agak halus."",""Campur telor dan oat yang sudah d blender beserta baking powder."",""Haluskan pisang."",""Tuang pisang yang sudah halus ke adonan."",""Siapkan loyang dan Kukusan."",""Kukus kurang lebih 30menit."",""Sajikan.""",sarapan
231,Tumis Sawi Putih,1100,263,15.78,0.005645,0.0,0.0049299999999999,0.0029809999999999,212.0,10.08,22.48,1.7,10.46,3.083,454.0,"""Makan Pagi""","""Hidangan sayuran yang mudah dan lezat.""",10 Menit,10 Menit,"""1 besar telur"",""1 sdt cabai merah atau rawit"",""1 sdt garam"",""4 siung bawang putih"",""200 gram sawi putih"",""1 sdt gula pasir"",""2 tomat ceri"",""1 sdm minyak goreng"",""1/4 sdm kecap manis"",""2 g royco ayam"",""35 gram bawang bombay""","""Potong Potong Sawi Putih Kemudian Cuci Bersih."",""Iris tipis2 bawang putih dan bawang bombay"",""iris serong cabai merah"",""iris tomat menjadi dua bagian."",""Panaskan minyak"",""lalu tumis bawang putih dan bawang bombay. Setelah harum masukkan telur dan orak-arik"",""tambahkan 250ml air"",""setelah mendidih tambahkan kol"",""cabai dan tomat"",""aduk rata. Tambahkan gula"",""garam"",""kecap & royco."",""Koreksi rasa"",""tunggu sampai matang.""",sarapan
236,Orange Smoothie,782,187,0.75,0.0001,0.0,0.252,0.076,0.0,2.39,47.88,7.2,34.14,73.0,666.0,"""Minuman""","""Smoothie yang menyegarkan dengan apel"",""nanas"",""dan wortel.""",10 Menit,.,"""1 kecil jeruk keprok"",""1 sedang apel (tanpa kulit)"",""100 gram nanas"",""100 gram wortel"",""1/2 gelas air""","""Kupas semua buah2an"",""cuci bersih lalu potong2"",""kecuali jeruk"",""peras airnya."",""Siapkan blender"",""masukan semua buah yg sudah di potong kecil2"",""lalu air perasan jeruk"",""tambahkan air dan es batu secukupnya."",""Blender semua buah kurleb 2-3menit sampai halus sempurna. Siap dinikmati.""",sarapan
240,Cookies Oatmeal,146,35,2.65,0.437,0.0,0.001278,0.244,0.0,1.93,9.82,1.6,1.34,3.0,49.0,"""Makanan Penutup"",""Makanan Ringan""","""Kue sehat dengan kacang kenari dan pisang.""",10 Menit,15 Menit,"""35 gram kenari"",""1/2 sdt kayu manis"",""135 gram pisang"",""135 g oatmeal""","""Haluskan pisang."",""Masukkan semua bahan"",""aduk sampai tercampur rata."",""Beratnya sekitar 24-25gr per porsi"",""hasilnya 13 cookie. Bulatkan lalu ratakan."",""Panggang dengan suhu 175° selama 12-15 menit.""",sarapan
241,Sayur Tumis Sawi Telur,544,130,7.25,0.002783,0.0,0.568,0.922,93.0,4.66,13.25,2.6,5.31,57.0,361.0,"""Hidangan Utama"",""Makan Pagi"",""Makan Siang""","""Makan siang ringan yang lezat dengan banyak sayuran.""",5 Menit,15 Menit,"""1 sedang telur"",""2 sdt cabai merah atau rawit"",""1 kecil wortel"",""1 siung bawang putih"",""1/2 utuh sedang tomat merah"",""80 gram sawi putih"",""2 kecil bawang merah"",""1 sendok makan minyak goreng""","""Iris bawang"",""cabai"",""tomat"",""sawi"",""wortel."",""Panaskan minyak."",""Tumis bawang"",""cabai."",""Masukkan wortel dan tomat."",""Tumis hingga empuk"",""tambahkan bumbu sesuai selera."",""Masukkan sawi."",""Tambahkan sedikit air. Masak sampai matang.""",sarapan
242,Bubur Oat,1728,413,14.16,0.00297,0.0,0.00311,0.0047859999999999,83.0,35.49,0.0,5.6,9.62,809.0,978.0,"""Makan Pagi""","""Oat gurih yang sehat dengan sayuran.""",10 Menit,7 Menit,"""100 g dada ayam"",""100 g bawang bombay dimasak"",""100 g wortel"",""100 g oatmeal"",""100 g sawi hijau""","""Tumis bawang bombay sampai harum dengan minyak kelapa."",""Setelah harum"",""masukan sedikit air."",""Masukkan ayam"",""lalu sawi dn terakhir wortel."",""Setelah topping agak layu"",""masukkan oat nya kurang lebih 3-5menit ( bila air diatas habis"",""boleh ditambah untuk metebus oatnya. Sedikit saja ya)."",""Tambahkan sedikit garam. Koreksi rasa.""",sarapan
249,Yellow Smoothies,335,80,0.26,0.046,0.0,6e-05,0.071,0.0,0.7,0.0,3.3,15.17,4.0,204.0,"""Minuman"",""Makan Pagi""","""Campuran buah pir"",""mentimun"",""dan mangga yang menyegarkan.""",20 Menit,10 Menit,"""100 gram mangga"",""150 gram buah pir"",""50 gram mentimun (dengan kulit)"",""130 gram air""","""Masukkan semua bahan ke dalam blender."",""Tambahkan air lalu Blender semua bahan sampai halus."",""Siap disajikan.""",sarapan
251,Telur Kukus,962,230,12.5,0.004889,0.0,0.505,0.005267,55.0,22.64,5.56,1.4,2.27,347.0,417.0,"""Lauk Pauk"",""Makan Pagi"",""Makan Siang""","""Telur kukus rendah karbohidrat dan tinggi protein dengan daging sapi dan kacang hijau.""",15 Menit,45 Menit,"""63 gram daging sapi"",""1 1/2 besar putih telur"",""12 gram buncis"",""29 gram wortel"",""11 gram daun bawang""","""Iris cincang wortel"",""daun bawang"",""serta buncis. Sisihkan."",""Kocok putih telur dengan pengocok telur hingga berbusa."",""Masukan wortel"",""daun bawang"",""buncis yang telah diiris cincang serta daging sapi yang dipotong kecil-kecil ke dalam kocokan putih telur. Tambahkan garam"",""merica"",""dan penyedap. Aduk hingga rata."",""Masukan adonan ke dalam wadah anti panas"",""lalu kukus selama 30 menit."",""Setelah 30 menit angkat lalu tiriskan.""",sarapan
252,Bubur Oatmeal Asin,933,223,7.99,0.001785,2e-05,0.001825,0.0026469999999999,118.0,12.26,27.49,4.2,1.34,1.549,228.0,"""Makan Pagi""","""Bagi mereka yang ingin membumbui sarapan oatmeal biasa mereka.""",5 Menit,15 Menit,"""1 irisan tipis ayam"",""1/2 besar telur rebus"",""1/4 mangkok jamur dimasak (lemak tidak ditambahkan dalam masakan)"",""1/2 sdt garam"",""1/2 sdm seledri"",""1 sdm"",""cincang daun bawang (loncang)"",""1/4 sosis ayam"",""0"",""5 g royco ayam"",""35 g instant oatmeal grain"",""0"",""75 g lada putih bubuk""","""Nyalakan kompor."",""Masukkan oatmeal ke teflon dan tambahkan air panas"",""aduk jangan sampai terlalu encer."",""Tambahkan garam"",""lada"",""daun bawang"",""dan penyedap rasa"",""aduk."",""Hias bubur dengan topping."",""Koreksi rasa"",""jika sudah pas"",""tuang ke mangkuk."",""Tambahkan air lagi sedikit demi sedikit sambil diaduk sampai tekstur seperti bubur."",""Selamat menikmati.""",sarapan
258,Mini Pancakes,1477,353,8.04,0.002009,0.0,0.0010149999999999,0.0019199999999999,186.0,10.92,62.77,4.3,27.06,64.0,618.0,"""Makan Pagi""","""Pancake mini enak yang terbuat dari oats dan pisang!""",5 Menit,20 Menit,"""1 sedang telur"",""1/2 buah kiwi"",""120 gram pisang"",""1 gram biji wijen kering utuh"",""1/2 sdm madu"",""30 g oats""","""Blender oat"",""pisang"",""telur"",""bp sampai halus."",""Panggang adonan sedikit-sedikit (pakai sendok teh) pada teflon anti lengket tanpa menambahkan minyak/margarin. Gunakan api kecil."",""Balik adonan saat timbul gelembung pada pancake."",""Sajikan dengan toping madu"",""wijen"",""dan buah.""",sarapan
266,Manggo Sticky Oats,1096,262,8.26,0.006353,0.0,0.618,0.956,0.0,2.82,48.62,9.4,16.03,316.0,155.0,"""Makan Pagi"",""Makanan Penutup""","""Makanan penutup yang berasal dari Thailand"",""dibuat dengan oatmeal sebagai pengganti nasi ketan.""",3 Menit,5 Menit,"""95 gram mango"",""1/2 tsp sugar"",""2 sejumput salt"",""50 ml water"",""100 ml water"",""6 sdt fiber creme"",""6 g tepung pati jagung"",""20 g quick cook oatmeal""","""Kupas mangga terlebih dahulu lalu tata kedalam piring."",""Selanjutnya masak oats dengan 200ml air"",""tambahkan garam secukupnya lalu masak hingga air menyusut. Taruh kedalam piring."",""Setelah itu buat saus dengan memanaskan 50ml air"",""tambahkan 6 sdt fibercrem lalu aduk hingga merata."",""Tambahkan sedikit garam dan 1/2 sdt gula"",""aduk kembali lalu tambahkan 1/2 sdm tepung maizena."",""Aduk hingha rata dan mengental."",""Siramkan diatas mangga dan oats yang telah di tata."",""Selesai.""",sarapan
273,Nasi Goreng Oatmeal,1406,336,12.31,0.001991,0.0,0.004707,0.004416,0.0,7.7,53.09,7.1,15.92,1.656,419.0,"""Hidangan Utama""","""Versi rendah gula tanpa nasi.""",15 Menit,20 Menit,"""1 sdm margarin"",""1/2 sdt garam"",""50 gram buncis"",""50 gram wortel"",""1/2 daun bawang"",""100 ml air"",""1 1/2 sdt bawang putih cincang"",""4 sendok makan instant oatmeal"",""1/2 takaran lada putih bubuk"",""1 sdm kecap manis""","""Cincang bawang putih dan potong sayuran yang telah dicuci."",""Panaskan teflon lalu masukan margarin hingga mencair."",""Tumis baput cincang hingga harum."",""Masukan air"",""disusul dengan sayuran."",""Tumis sayuran hingga setengah matang lalu masukan daun bawang dan oatmeal."",""Terakhir masukan bumbu seperti kecap"",""garam"",""dan lada.""",sarapan
277,Ayam Crispy Oatmil,1190,284,16.06,0.003996,0.0,0.00149,0.002595,148.0,20.48,14.82,1.7,0.5,1.432,242.0,"""Lauk Pauk""","""Ayam goreng crunchy dilapisi oatmeal.""",5 Menit,5 Menit,"""100 gram dada ayam"",""1 besar telur"",""1 sdm bubuk cabai"",""1 sdt"",""tumbuk oregano"",""1 sdt garam"",""1 sdm olive oil"",""2 sdm oat""","""Slice dada ayam ketebalan sesuai selera lalu bumbui dada ayam dgn garam dan bubuk cabai (optional)."",""Kocok telur."",""Tuang quacker oat ke dalam mangkuk lalu bumbui lg dgn bubuk cabai"",""garlic powder"",""dan oregano."",""Tuang sedikit olive oil ke teflon klo bisa (anti lengket) yg sudah dipanaskan."",""Lumuri dada ayam dengan telur lalu balurkan ke oat yg sudah dibumbui. Panggang di dalam teflon dgn api sedang."",""Angkat ayam jika sudah kecoklatan.""",sarapan
279,Roti Tawar,561,134,3.34,0.795,0.0,0.796,0.778,26.0,4.17,21.25,1.4,2.56,61.0,0.09,"""Roti & Produk Panggang""","""Roti tawar terbuat dari campuran tepung"",""telur"",""margarin"",""gula dan susu bubuk.""",1 Jam,30 Menit,"""1 besar telur"",""3 1/2 gram ragi"",""20 gram margarin"",""1 sejumput garam"",""120 ml air"",""20 gram gula bubuk"",""180 gram tepung terigu putih (semua keperluan)"",""30 g susu bubuk full cream""","""Campurkan semua bahan kecuali margarin dan garam."",""Setelah bahan tercampur"",""masukan margarin dan aduk hingga semua bahan tercampur dan adonan menjadi kalis."",""Istirahatkan adonan selama 1 jam"",""biarkan hingga adonan mengembang 2 kali lipat dari ukuran semula."",""Panggan adonan menggunakan oven selama 30 menit dengan suhu 180°C."",""Setelah roti matang"",""oleskan margarin pada roti selagi hangat."",""Roti siap disajikan.""",sarapan
280,Sup Sehat,234,56,2.92,0.869,0.025,0.494,0.0010869999999999,159.0,4.53,0.0,0.8,0.81,163.0,132.0,"""Makanan Pembuka"",""Sup"",""Hidangan Utama"",""Lauk Pauk"",""Makan Pagi"",""Makan Siang""","""Perpaduan sayur dan lauk kaya gizi.""",20 Menit,10 Menit,"""20 telur puyuh"",""100 gram buncis"",""50 gram brokoli"",""100 gram wortel"",""5 siung bawang putih"",""5 gram daun bawang"",""30 gram jamur putih (ditumis)"",""1 g lada putih bubuk"",""3 sosis ayam"",""50 gram kaldu jamur""","""Potong2 semua bahan sesuai selera."",""Rebus telur puyuh dan kupas."",""Rebus 750mL air."",""Geprek bawang putih dan masukkan k air yang telah mendidih."",""Masukkan wortel"",""buncis"",""brokoli ke dalam air."",""Biarkan 1/2 lunak dan masukkan sosis"",""jamur"",""telur puyuh."",""Bumbui dengan kaldu jamur dan lada putih. Koreksi rasa (bisa d tambahkan gula"",""garam"",""dll sesuai keinginan. Kalori perlu d tambahkn untuk modifikasi)."",""Tambahkan irisan bawang daun (saya pakai yang putih) dan siap d hidangkan.""",sarapan
282,Salad Ayam,1573,376,13.98,0.003077,0.0,0.002506,0.00357,0.05,22.51,41.93,4.5,5.11,594.0,701.0,"""Makanan Pembuka"",""Hidangan Utama"",""Salad dan Salad Dressing"",""Lainnya"",""Makan Siang""","""Salad dengan ayam"",""jagung dan kentang.""",10 Menit,30 Menit,"""60 gram chicken breast"",""2 mangkok"",""parut atau cincang lettuce"",""90 gram cooked corn"",""1/2 sendok makan light mayonnaise"",""50 gram boiled potato""","""Bumbui ayam dengan garam merica"",""panggang."",""Kukus jagung"",""kentang."",""Potong n cuci lettuce."",""Campur smuanya."",""Pakein mayo / salad dressing.""",sarapan
283,Bolu Cup,247,59,1.3,0.464,0.0,0.145,0.00034,37.0,1.87,9.88,0.2,4.88,46.0,19.0,"""Roti & Produk Panggang"",""Makanan Penutup"",""Makanan Ringan"",""Lainnya"",""Makan Pagi""","""Cupcake 4 bahan mudah.""",15 Menit,45 Menit,"""220 gram telur"",""120 gram gula pasir"",""150 gram tepung terigu putih (semua keperluan)"",""50 g keju serbaguna""","""Kocok telur dan gula hingga mengembang."",""Tambahkan tepung sedikit demi sedikit."",""Masukkan ke cup."",""Taburin keju."",""Panggang dg suhu 200 C selama 30 menit.""",sarapan
285,Kue Muesli,328,78,1.8,0.195,0.0,0.086,0.239,27.0,2.08,13.85,1.5,7.64,15.0,12.0,"""Roti & Produk Panggang"",""Makanan Ringan"",""Makanan Penutup"",""Makan Pagi""","""Sehat dan mudah dibuat.""",10 Menit,20 Menit,"""1 sedang telur"",""2 sdm madu"",""100 g tropical muesli""","""Campur semua bahan."",""Bentuk kue dan sebarkan di atas loyang."",""Panggang dalam oven selama 20 menit dengan suhu 170°C.""",sarapan
286,Sup Baso Ikan,295,70,1.26,0.263,0.0,0.382,0.405,31.0,6.9,7.47,0.4,0.24,1.371,0.17,"""Sup"",""Lauk Pauk"",""Makan Pagi"",""Makan Siang""","""Bola ikan super lezat dan sup sayuran.""",10 Menit,30 Menit,"""7 1/2 gram kaldu jamur"",""1 sdt garam"",""1 gram minyak wijen"",""2 gram daun bawang"",""20 gram sawi putih"",""1 gelas air"",""117 gram bakso ikan"",""20 gram sawi hijau""","""Siapkan bahan"",""masak air sampai mendidih."",""Tambhan minyak wijen"",""kaldu dan garam"",""cicipi rasa."",""Masukan baso"",""tekakhir masukan sayuran"",""siapkan wadah""",sarapan
291,Oseng Tahu,967,231,18.41,0.003108,0.0,0.005033,0.006201,0.0,10.84,8.76,1.6,2.46,402.0,258.0,"""Hidangan Utama"",""Lauk Pauk"",""Makan Pagi"",""Makan Siang""","""Ini makanan favorit buatan.""",5 Menit,10 Menit,"""43 gram bawang bombay dimasak"",""1 sejumput lada hitam"",""1 sdm minyak wijen"",""1 sdm saus tiram"",""51 gram kubis"",""9 gram daun bawang"",""1 sejumput garam laut"",""250 gram tahu"",""1 sdm minyak jagung""","""Iris bawang bombay"",""daun bawang"",""kubis sesuai selera."",""Siapkan wajan anti lengket"",""beri corn oil lalu masukkan daun bawang tumis hingga harum."",""Setelah itu masukkan bombay"",""tumis hingga harum."",""Kecilkan api"",""masukkan tahu lalu lancurkan. Oseng hingga air tahu mengering."",""Tambahkan minyak wijen"",""saus tiram"",""lada"",""garam oseng hingga tercampur rata selama 75 detik."",""""",sarapan
293,Nasi Goreng,864,206,7.51,0.001086,0.0,0.003145,0.002845,0.0,4.09,31.29,3.8,9.22,664.0,323.0,"""Hidangan Utama"",""Makan Pagi"",""Makan Siang""","""Makanan sehat.""",5 Menit,15 Menit,"""92 gram kecambah"",""1 sdm minyak wijen"",""1 sdm saus tiram"",""62 gram kubis"",""100 gram wortel"",""60 gram nasi merah (butir-sedang"",""dimasak)"",""60 gram nasi putih (butir-sedang"",""dimasak)"",""2 sdm saus sambal""","""Tulis wortel selama 1 menit"",""lalu masukkan gubis tumis kembali."",""Masukkan nasi"",""tumis hingga rata lalu masukkan kecambah."",""Tambahkan saus sambal"",""saus tiram"",""minyak wijen.""",sarapan
301,Oat Pisang,680,162,3.89,0.132,0.0,0.086,0.038,0.0,2.28,32.95,0.0,14.43,31.0,422.0,"""Roti & Produk Panggang"",""Makanan Ringan"",""Makanan Penutup"",""Makan Pagi""","""Manis"",""kenyal dan nikmat.""",10 Menit,.,"""2 sedang pisang"",""8 g mentega"",""100 g oatmeal""","""Hancurkan pisang."",""Tambahkan oatmeal dan mentega cair dan aduk rata."",""Bentuk kue dan letakkan di atas loyang. Panggang selama 20 menit pada suhu 180°C.""",sarapan
302,Brownies Oat,659,158,8.67,0.001059,0.0,0.001406,0.0032719999999999,23.0,2.16,18.53,2.7,10.48,13.0,101.0,"""Makanan Penutup"",""Makanan Ringan"",""Roti & Produk Panggang"",""Makan Pagi""","""Kaya"",""lembab"",""dan manis.""",20 Menit,20 Menit,"""2 sedang telur"",""20 gram cocoa powder (unsweetened)"",""130 gram brown sugar"",""100 g instant oatmeal"",""63 ml minyak kanola"",""20 g fiber creme"",""10 g tepung pati jagung"",""104 ml dark compound chocolate""","""Lelehkan dark chocolate dengan minyak. Menyisihkan."",""Campur bahan yang tersisa."",""Terakhir"",""tambahkan campuran cokelat leleh. Campur dengan baik."",""Tempatkan adonan ke dalam cetakan dan hiasi sesuai keinginan. Panggang selama 20 menit pada suhu 180°C.""",sarapan
303,Muffins Pisang,473,113,0.9,0.211,0.0,0.249,0.387,0.0,7.86,19.5,2.2,8.37,101.0,126.0,"""Makanan Ringan"",""Makanan Penutup"",""Roti & Produk Panggang"",""Makan Pagi""","""Resepnya enak"",""mudah dibuat dan sedikit manis.""",15 Menit,20 Menit,"""1 besar putih telur"",""2 gram kayu manis"",""1 sdt ekstrak vanila"",""1 sedang pisang"",""1 gram baking soda"",""1 sdm madu"",""1 bungkus stevia sweetener"",""1 scoop impact whey isolate"",""1/2 gelas kering rolled oats""","""Pisahkan telur dan kocok putih telurnya."",""Hancurkan pisang lalu tambahkan putih telur"",""vanila"",""dan madu. Campur dengan baik."",""Aduk sisa bahan dan aduk rata."",""Bagi menjadi cangkir muffin dan hiasi sesuai keinginan. Kukus selama 20 menit.""",sarapan
304,Kue Chiffon,758,181,9.88,0.004353,0.0,0.002576,0.002161,112.0,5.67,17.28,0.2,10.63,73.0,52.0,"""Roti & Produk Panggang"",""Makanan Penutup"",""Makanan Ringan"",""Makan Pagi""","""Kue lembut yang dibuat dari bahan sederhana.""",20 Menit,55 Menit,"""80 gram keju cheddar"",""6 besar putih telur"",""6 besar kuning telur"",""70 ml air"",""125 gram gula pasir"",""100 gram tepung terigu putih (semua keperluan)"",""70 ml minyak goreng""","""Kocok putih telur dengan 100 gr gula hingga kaku."",""Di wadah lain"",""kocok kuning telur dengan 25 gr gula hingga berbusa. Kemudian tambahkan air dan minyak"",""aduk rata. Terakhir"",""tambahkan tepung dan aduk."",""Campurkan 2 campuran dan tempatkan dalam loyang kue. Hiasi keju cheddar di atasnya."",""Panggang dalam oven dengan suhu 160°C selama 50-55 menit."",""Tunggu dingin baru keluarkan dari loyang.""",sarapan
307,Banana Oatmeal Pancake,504,120,4.11,0.594,0.0,0.758,0.002401,0.0,3.22,18.8,2.3,3.66,14.0,119.0,"""Makanan Ringan"",""Makan Pagi""","""Pancake oatmeal pisang sederhana"",""untuk sarapan pagi.""",10 Menit,15 Menit,"""1 besar putih telur"",""2 sdt minyak zaitun"",""1 sedang pisang"",""50 ml air"",""70 g oatmeal""","""Masukan pisang"",""oatmeal"",""dan air ke dalam blender."",""Blender hingga halus"",""kemudian pindah ke dalam mangkuk dan masukan putih telur kemudian di kocok dengan menggunakan sendok hingga tercampur rata."",""Masak dengan menggunakan teflon dan beri minyak zaitun"",""masak hingga matang.""",sarapan
308,Pancake Oat,849,203,1.07,0.246,0.0,0.015,0.114,2.0,14.69,28.83,0.0,1.76,178.0,199.0,"""Makan Pagi""","""Sarapan sehat yang enak.""",5 Menit,5 Menit,"""20 g susu rendah lemak"",""100 g putih telur"",""35 g gandum""","""Panaskan pan dengan api sedang"",""jika dikira sudah panas kecilkan api."",""Campur rata semua bahan-bahan"",""jika mau tambahkan sweetener untuk pengganti gula jika ingin manis jika tidak juga gapapa."",""Jika sudah tercampur rata semua bahan"",""tuang adonan ke pan yang sudah dipanaskan ingat dengan api kecil"",""tunggu sampai matang. Pancake oat siap di hidangkan. Bisa di tambahkan topping tapi yang sehat.""",sarapan
310,Tumis Oatmeal Dengan Sayur,1142,273,0.5,8e-05,0.0,0.242,0.026,0.0,7.1,59.94,19.9,7.15,2.441,605.0,"""Makan Pagi""","""Oatmeal yang dimasak dengan sayur dengan ditumis.""",10 Menit,15 Menit,"""1 sejumput lada"",""1 sdt garam"",""1 mangkok"",""dicincang wortel"",""15 gram bawang daun"",""1 mangkok bayam"",""14 g bawang merah"",""3 g bawang putih"",""53 g oatmeal""","""Sangrai oatmeal"",""kurang lebih 5 menit"",""sampai tercium bau dan tekstur nya lebih garing. Sisihkan."",""Tumis Bawang merah"",""bawang putih"",""bawang daun sampai harum"",""masukkan garam dan lada putih"",""tambah air 1/4 cangkir. masak kurang lebih 5 menit."",""Pada saat sayur matang"",""masukkan oatmeal yang sudah disangrai tadi. Kalau kental masukkan air secukupnya sampai air terserap semuanya. Hidangkan.""",sarapan
